School,City,Public or Private,Zip Code,Mental Health Services(Y/N),Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),Graduation Rate: 2023 (Cohort 2022) (%),Dropout Rate: 2023 (%),End of Year Promotion (%),College or Career Readiness (CCRI) Points,American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Free lunch Eligible,Reduced-price Lunch eligible,Free lunch eligible by Direct Certification,Classroom Teachers (FTE), Student Teacher Ratio,Grade Levels,County,"Phoenix, AZ Metro Area High Schools Ranking - US News"
Youngker High School,"Buckeye, AZ",Public,85326,Yes,2107,37,29,27,7,42,26,23,10,92.34,2.68,99.8,17.1,19,15,192,1369,9,452,43,1028,1071,776,251,351,85,24.69,9-12,Maricopa,84
Arizona College Prep,"Chandler, AZ",Public,85249,NaN,1767,1,6,34,58,5,8,21,66,98.62,1.33,100,20,8,565,69,260,7,731,135,939,836,88,35,35,80,22.19,7-12,Maricopa,9
Az Compass Prep School,"Chandler, AZ",Public,85225,NaN,247,55,25,19,2,73,18,9,0,78.95,19.2,98.47,35,62,2,78,64,0,26,15,150,97,177,34,94,NaN,NaN,7-12,Maricopa,163-193
Basha High School,"Chandler, AZ",Public,85249,NaN,2797,8,21,42,30,12,21,29,39,91.47,1.53,98.59,17.1,40,308,133,494,9,1685,145,1461,1353,225,84,106,135.03,20.84,6-12,Maricopa,24
Basis Chandler,"Chandler, AZ",Public,85248,NaN,1147,4,10,52,34,3,9,29,60,100,0,99.47,20,2,935,46,38,2,96,27,607,539,NaN,NaN,NaN,NaN,NaN,5-12,Maricopa,4
Blueprint High School,"Chandler, AZ",Public,85225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,0,36,0,3,0,22,23,30,4,11,NaN,NaN,NaN,NaN,NaN
Bogle Junior High School,"Chandler, AZ",Public,85248,NaN,1141,25,20,37,19,37,21,20,22,NaN,NaN,99.21,NaN,31,92,78,370,6,503,71,603,548,230,69,124,60.11,19.15,7-8,Maricopa,NaN
Brightmont Academy - Chandler,"Chandler, AZ",Private,85226,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1-12,Maricopa,NaN
Chandler High School,"Chandler, AZ",Public,85225,NaN,3580,28,28,33,12,38,30,20,12,86.67,3.68,97.94,13.3,77,132,371,2013,25,804,175,1827,1770,1330,323,678,192.36,18.7,8-12,Maricopa,71
Chandler Online Academy,"Chandler, AZ",Public,85225,NaN,433,14,27,44,15,29,28,25,18,65.98,2.33,98.56,13.8,8,38,30,111,2,188,28,177,228,NaN,NaN,NaN,37.5,10.8,KG-12,Maricopa,NaN
Great Hearts Academies - Archway Chandler,"Chandler, AZ",Public,85034,Yes,532,10,15,36,39,3,12,36,49,NaN,NaN,99.25,NaN,3,93,25,100,0,254,58,261,272,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,NaN
Great Hearts Academies - Chandler Prep,"Chandler, AZ",Public,85034,Yes,712,10,18,53,19,17,21,30,33,98.61,1.55,99.28,19.2,3,130,44,116,9,347,64,355,358,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,48
Great Hearts Academies - Lincoln Prep,"Chandler, AZ",Public,85034,Yes,535,27,24,39,9,26,25,28,21,100,1.11,99.25,17.4,1,123,36,76,3,251,46,272,264,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,NaN
Hamilton High School,"Chandler, AZ",Public,85248,NaN,3828,11,20,38,31,18,21,24,37,90.18,2.86,99.03,16.4,88,719,304,828,8,1673,230,1886,1964,539,154,290,178.96,21.51,8-12,Maricopa,16
Intelli-school,"Chandler, AZ",Public,85225,NaN,51,67,13,13,7,60,33,7,0,14.81,31.25,77.19,NaN,0,0,3,38,0,8,2,25,26,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Kaizen Education Foundation Dba El Dorado High School,"Chandler, AZ",Public,85225,No,202,87,9,2,2,82,18,0,0,17.81,17.94,86.34,33.5,3,2,30,119,0,44,5,110,93,103,22,75,NaN,NaN,9-12,Maricopa,NaN
Ken 'chief' Hill Learning Academy,"Chandler, AZ",Public,85225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mosaica Preparatory Academy of Chandler,"Chandler, AZ",Public,85226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oasis Recovery,"Chandler, AZ",Private,85225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,9,4,0,20,1,18,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Paragon Science Academy,"Chandler, AZ",Public,85224,NaN,547,16,24,40,21,18,20,30,32,100,0,100,20,6,133,151,44,0,197,17,272,276,186,21,152,NaN,NaN,KG-12,Maricopa,27
Primavera - Online,"Chandler, AZ",Public,85225,NaN,6381,45,27,23,5,68,22,8,2,32.37,16.57,79.72,3.1,257,75,316,2786,15,2578,365,2884,3508,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,163-193
Santan Junior High School,"Chandler, AZ",Public,85249,NaN,1228,21,21,41,17,31,25,27,17,NaN,NaN,99.28,NaN,16,80,64,228,2,765,79,606,628,111,49,71,60.78,20.3,7-8,Maricopa,NaN
Seton Catholic Preparatory High School,"Chandler, AZ",Private,85224,NaN,544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,208,336,0,0,NaN,NaN,NaN,NaN,NaN,53.5,10.2,9-12,Maricopa,NaN
Tri-city Christian Academy,"Chandler, AZ",Private,85286,NaN,235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,30,15,50,140,0,0,NaN,NaN,NaN,NaN,NaN,21,11.2,KG-12,Maricopa,NaN
Valley Christian High School,"Chandler, AZ",Private,85283,NaN,119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.9,12,7-8,Maricopa,NaN
Willis Junior High School,"Chandler, AZ",Public,85225,NaN,858,41,19,30,9,51,19,17,13,NaN,NaN,99.89,NaN,15,34,49,499,5,229,34,434,431,380,95,181,45.88,18.85,7-8,Maricopa,NaN
Dysart High School,"El Mirage, AZ",Public,85335,NaN,1427,33,27,31,8,35,33,24,8,91.94,2.34,99.78,12.9,14,41,126,874,8,315,55,770,663,673,157,331,70.8,20.24,7-12,Maricopa,90
West-mec - Dysart High School,"El Mirage, AZ",Public,85335,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,0,1,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Fountain Hills High School,"Fountain Hills, AZ",Public,85268,NaN,467,22,34,31,13,31,24,25,20,79.46,1.86,98.46,15.5,60,11,8,57,0,299,31,265,201,69,9,38,NaN,NaN,9-12,Maricopa,41
Fountain Hills.online,"Fountain Hills, AZ",Public,85268,NaN,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,0,1,6,0,15,4,18,19,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,NaN
Gila Bend High School,"Gila Bend, AZ",Public,85337,NaN,156,84,9,6,0,82,15,3,0,38.46,5.26,95.95,0,40,0,1,105,0,5,5,81,75,156,0,44,10.51,14.84,9-12,Maricopa,156
Arizona Connections Academy,"Gilbert, AZ",Public,85297,No,2568,38,24,30,7,60,22,14,4,70.04,13.63,99.38,6.4,87,29,198,834,14,1186,228,1253,1323,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,133
Campo Verde High School,"Gilbert, AZ",Public,85297,NaN,1986,17,21,42,20,21,27,29,24,95.01,1.26,98.99,19.5,30,60,54,449,6,1295,97,992,999,199,79,77,86.8,22.94,8-12,Maricopa,20
Cenpatico Schools,"Gilbert, AZ",Private,85233,NaN,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1,8,23,0,11,0,40,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cooley Middle School,"Gilbert, AZ",Public,85295,NaN,874,35,18,35,11,39,20,23,18,NaN,NaN,99.89,NaN,9,37,71,231,5,474,46,440,433,148,61,85,51.15,17.07,6-8,Maricopa,NaN
Desert Hills High School,"Gilbert, AZ",Public,85296,Yes,264,52,33,14,0,79,14,7,0,32.08,17.16,82.53,32.5,34,1,19,102,1,96,11,126,138,110,18,69,NaN,NaN,9-12,Maricopa,NaN
Eduprize School Gilbert,"Gilbert, AZ",Public,85233,Yes,1415,26,20,40,15,29,24,32,15,100,1.52,99.29,0,11,43,62,366,2,884,61,720,709,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,123
Gilbert High School,"Gilbert, AZ",Public,85234,NaN,2350,25,29,33,14,31,28,26,16,88.07,2.56,98.02,20,34,87,90,737,9,1261,136,1214,1140,470,211,207,111,21.21,7-12,Maricopa,78
Ironwood High School,"Glendale, AZ",Public,85304,NaN,1922,25,30,33,12,34,32,22,13,92.06,2.13,99.51,20,14,84,131,825,9,756,103,963,959,691,153,357,91.93,20.91,7-12,Maricopa,75
"Jefferson Preparatory High School","Glendale, AZ",Public,85306,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,3.15,96.15,16,0,9,4,8,1,33,2,26,31,11,1,8,NaN,-57,9-12,Maricopa,NaN
"Life Development Institute","Glendale, AZ",Private,85308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
"Mountain Ridge High School","Glendale, AZ",Public,85310,Y,2770,17,27,37,19,21,28,27,24,98.94,23,99.52,19.9,5,339,59,361,11,1868,128,1412,1359,139,83,94,110.6,25.05,7-12,Maricopa,19
"Ombudsman - Charter West","Glendale, AZ",Public,85308,NaN,118,74,11,11,5,85,15,0,0,29.31,30.45,71.29,35,0,1,17,39,1,59,1,68,50,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"Raymond S. Kellis","Glendale, AZ",Public,85305,NaN,1818,34,34,28,4,40,34,18,8,90.2,2.52,99.07,18.2,23,78,161,1055,7,425,68,884,933,690,181,349,86.45,21.02,7-12,Maricopa,100
"Sandra Day O'Connor High School","Glendale, AZ",Public,85310,Y,2566,16,32,37,15,21,33,26,20,96.86,0.36,99.73,20,16,148,64,351,4,1892,92,1315,1252,256,77,119,104.3,24.61,7-12,Maricopa,31
"Sunflower School","Glendale, AZ",Public,85306,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.33,86.36,NaN,2,0,2,13,0,7,1,11,14,14,14,6,3,8.33,PK-12,Maricopa,NaN
"Vision Christian Academy","Glendale, AZ",Private,85307,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,0,17,0,15,0,NaN,NaN,NaN,NaN,NaN,7.4,4.6,PK-12,Maricopa,NaN
"West-Mec - Apollo High School","Glendale, AZ",Public,85302,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"West-Mec - Cactus High School","Glendale, AZ",Public,85306,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"West-Mec - Central Campus","Glendale, AZ",Public,85307,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,0,0,11,0,12,1,NaN,NaN,NaN,8,1.62,9-12,Maricopa,NaN
"West-Mec - Copper Canyon High School","Glendale, AZ",Public,85305,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,0,2,0,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"West-Mec - Deer Valley High School","Glendale, AZ",Public,85308,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0,4,0,5,1,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-Mec - Glendale High School,"Glendale, AZ",Public,85301,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,0,7,0,3,5,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-Mec - Independence High School,"Glendale, AZ",Public,85303,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,1,3,2,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"West-Mec - Ironwood High School","Glendale, AZ",Public,85304,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,4,1,1,0,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"West-Mec - Mountain Ridge High School","Glendale, AZ",Public,85310,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,0,1,1,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"West-Mec - Raymond S. Kellis","Glendale, AZ",Public,85308,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,1,1,2,NaN,NaN,NaN,NaN,NaN,7-12,Maricopa,NaN
"West-Mec - Sandra Day O'Connor High School","Glendale, AZ",Public,85310,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,0,0,2,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"Westland School Brighton Campus","Glendale, AZ",Public,85305,NaN,320,49,21,22,8,51,26,18,5,90.91,4.03,97.98,15.1,9,2,48,164,8,74,15,162,158,230,28,104,NaN,NaN,KG-12,Maricopa,159
"Aspc-Perryville","Goodyear, AZ",Public,85338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Basis Goodyear","Goodyear, AZ",Public,85338,NaN,290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,76,55,76,1,62,18,141,149,NaN,NaN,NaN,NaN,NaN,5-12,Maricopa,NaN
