,index,School,City,Zip Code,Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),End of Year Promotion (%),American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Grade Levels,County,School Type,Anthem,Avondale,Buckeye,Chandler,El Mirage,Fountain Hills,Gila Bend,Gilbert,Glendale,Goodyear,Highley,Laveen,Mesa,Peoria,Phoenix,Queen Creek,Scottsdale,Surprise,Tempe,Tolleson,Tonopah,Wickenburg
89,144,"Peoria Accelerated High School",Peoria,85345,543,75.0,18.0,7.0,0.0,77.0,21.0,2.0,0.0,84.26,11,7,57,368,3,82,21,274,275,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,145,Peoria Ecampus,Peoria,85304,188,21.0,19.0,45.0,15.0,37.0,27.0,22.0,14.0,100.0,3,6,12,72,2,87,7,78,111,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,146,"Peoria Flex Academy",Peoria,85381,92,79.0,14.0,7.0,0.0,67.0,24.0,9.0,0.0,93.1,3,1,5,44,0,37,2,54,38,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,147,"Peoria High School",Peoria,85345,1564,39.0,28.0,27.0,6.0,45.0,31.0,15.0,9.0,99.58,32,53,155,863,8,398,57,768,798,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,148,Sonoran Science Academy-Peoria,Peoria,85382,232,41.0,22.0,26.0,11.0,45.0,25.0,19.0,11.0,100.0,3,7,37,51,1,113,21,137,96,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94,150,"Sunrise Mountain High School",Peoria,85382,2018,16.0,29.0,36.0,19.0,23.0,28.0,27.0,22.0,99.85,7,62,60,392,5,1401,91,1063,955,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,156,"Aaec - Paradise Valley",Phoenix,85032,315,5.0,14.0,48.0,32.0,14.0,31.0,26.0,29.0,100.0,1,13,5,53,0,230,14,114,202,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,157,"Aaec - Smcc Campus",Phoenix,85042,484,22.0,31.0,40.0,7.0,41.0,35.0,22.0,3.0,100.0,4,2,19,430,0,27,4,200,286,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,162,Arcadia High School,Phoenix,85018,1603,16.0,23.0,38.0,22.0,26.0,31.0,22.0,22.0,98.46,3,2,4,34,1,55,1,52,48,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,167,Arizona Insight Academy,Phoenix,85305,1098,56.0,25.0,17.0,2.0,74.0,21.0,4.0,0.0,92.86,1,1,10,34,1,45,7,47,53,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,174,Asu Preparatory Academy- Phoenix Elementary,Phoenix,85006,432,61.0,16.0,18.0,5.0,52.0,26.0,19.0,3.0,100.0,1,1,10,82,1,5,2,52,48,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,175,Asu Preparatory Academy- Phoenix High School,Phoenix,85006,359,28.0,45.0,22.0,5.0,22.0,46.0,22.0,9.0,98.31,1,2,8,82,1,5,1,52,48,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,176,"Barry Goldwater High School
",Phoenix,85027,1640,40.0,24.0,25.0,11.0,44.0,31.0,17.0,8.0,98.8,2,4,8,41,2,41,2,53,47,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,177,"Basis Ahwatukee
",Phoenix,85004,690,7.0,11.0,50.0,31.0,4.0,10.0,35.0,52.0,99.85,1,56,7,7,1,24,5,52,48,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,178,"Basis Phoenix
",Phoenix,85028,745,4.0,11.0,56.0,30.0,5.0,12.0,30.0,54.0,100.0,1,51,3,8,1,33,4,49,51,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,179,"Basis Phoenix Central Primary
",Phoenix,85028,427,24.0,17.0,43.0,16.0,27.0,23.0,34.0,16.0,100.0,23,1,13,29,1,27,8,50,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,180,"Bostrom Alternative Center
",Phoenix,85017,289,94.0,4.0,3.0,0.0,88.0,12.0,0.0,0.0,78.67,1,1,7,84,1,3,2,60,40,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,183,"Camelback High School
",Phoenix,85082,2241,57.0,26.0,14.0,3.0,64.0,27.0,9.0,1.0,98.13,1,1,10,76,1,7,2,51,49,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,187,"Carl Hayden High School
",Phoenix,85081,2218,67.0,21.0,11.0,1.0,62.0,30.0,6.0,2.0,97.06,1,1,3,94,1,2,1,54,46,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,188,"Central High School
",Phoenix,85012,1901,57.0,24.0,18.0,2.0,61.0,27.0,9.0,3.0,96.18,7,3,15,64,1,8,3,49,51,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,192,Wickenburg Virtual Academy,Wickenburg,85390,78,54.0,27.0,20.0,14.0,66.0,21.0,14.0,0.0,91.6,0,0,1,29,0,46,2,34,44,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,193,Wickenburg High School,Wickenburg,85390,474,39.0,24.0,25.0,8.0,49.0,24.0,21.0,6.0,91.77,4,3,10,196,0,240,7,235,225,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,197,Tonopah Valley High School,Tonopah,85354,864,51.0,30.0,18.0,1.0,53.0,31.0,14.0,1.0,99.52,13,4,47,503,3,278,17,467,398,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112,200,University High School,Tolleson,85353,379,0.0,11.0,56.0,33.0,1.0,26.0,36.0,37.0,99.73,0,53,42,240,1,31,12,149,230,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,201,Tolleson Union High School,Tolleson,85353,2256,49.0,29.0,19.0,3.0,44.0,34.0,18.0,3.0,97.06,27,29,214,1861,8,78,39,1146,1110,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,202,Sierra Linda High School,Tolleson,85353,1976,57.0,26.0,15.0,2.0,61.0,27.0,10.0,2.0,97.05,18,17,182,1649,12,71,26,1017,958,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,206,Tempe Preparatory Academy,Tempe,85283,443,8.0,12.0,50.0,31.0,13.0,26.0,33.0,28.0,99.3,5,31,7,123,2,237,38,208,235,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,207,Tempe High School,Tempe,85281,1582,33.0,37.0,25.0,5.0,44.0,32.0,20.0,4.0,96.79,58,17,191,1133,32,110,43,764,820,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,208,Tapbi,Tempe,85283,198,28.0,25.0,33.0,14.0,36.0,31.0,19.0,13.0,100.0,10,8,31,85,2,49,14,89,110,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118,213,New School for the Arts,Tempe,85281,204,18.0,38.0,36.0,7.0,38.0,22.0,33.0,7.0,99.47,7,3,8,47,1,122,15,62,141,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
119,214,Mcclintock High School,Tempe,85283,1947,32.0,26.0,24.0,18.0,33.0,29.0,22.0,17.0,97.73,89,45,268,945,34,469,99,964,985,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,215,Marcos De Niza High School,Tempe,85282,1517,37.0,28.0,25.0,9.0,45.0,34.0,15.0,6.0,95.23,177,35,145,827,10,262,63,772,747,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,216,James Madison Preparatory School,Tempe,85283,156,32.0,24.0,32.0,13.0,59.0,23.0,13.0,5.0,98.6,3,4,8,36,3,98,4,83,73,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,217,International Commerce High School - Tempe,Tempe,85282,253,61.0,33.0,5.0,1.0,64.0,26.0,9.0,1.0,81.38,16,0,24,163,3,33,14,136,117,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,220,Edoptions Hs Learning Center,Tempe,85282,542,63.0,25.0,12.0,0.0,72.0,20.0,6.0,2.0,63.0,3,7,23,207,38,248,5,254,277,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,221,Corona Del Sol High School,Tempe,85284,2730,14.0,18.0,39.0,29.0,16.0,25.0,25.0,34.0,98.5,69,188,141,815,13,1329,178,1369,1364,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,224,Willow Canyon High School,Surprise,85374,1787,27.0,26.0,33.0,14.0,30.0,30.0,28.0,12.0,99.83,20,46,137,574,11,878,121,902,885,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
126,228,Imagine Prep Surprise,Surprise,85379,290,30.0,27.0,33.0,10.0,45.0,28.0,20.0,6.0,99.65,0,5,21,98,0,145,21,153,137,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,229,Valley Vista High School,Surprise,85374,2451,29.0,26.0,31.0,14.0,33.0,34.0,22.0,10.0,99.5,23,32,223,1185,8,842,151,1224,1240,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,231,Arizona Charter Academy,Surprise,85374,978,44.0,20.0,28.0,9.0,36.0,22.0,28.0,14.0,99.69,0,7,92,667,2,167,47,496,486,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,235,Sunrise Middle School,Scottsdale,85254,433,29.0,15.0,34.0,22.0,47.0,14.0,14.0,25.0,99.53,9,18,19,160,1,200,26,226,207,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,236,Scottsdale Online Learning,Scottsdale,85257,224,26.0,23.0,31.0,20.0,57.0,17.0,14.0,11.0,94.97,9,9,9,47,0,142,8,101,123,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
131,238,Salt River Accelerated Learning Academy,Scottsdale,85256,74,81.0,5.0,14.0,0.0,90.0,10.0,0.0,0.0,79.69,63,0,0,11,0,0,0,45,29,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,239,Saguaro High School,Scottsdale,85250,1466,19.0,22.0,34.0,25.0,21.0,24.0,28.0,27.0,99.3,64,46,101,339,7,861,48,732,734,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,241,Horizon High School,Scottsdale,85254,1912,8.0,20.0,41.0,31.0,16.0,27.0,30.0,27.0,98.8,17,45,38,275,8,1412,110,946,959,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,242,Great Hearts Academies - Scottsdale Prep,Scottsdale,85260,875,9.0,20.0,52.0,20.0,14.0,24.0,31.0,30.0,99.76,1,136,5,94,1,596,42,421,454,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
135,243,Great Hearts Academies - Cicero Prep,Scottsdale,85258,502,16.0,23.0,51.0,10.0,29.0,22.0,31.0,19.0,100.0,7,18,15,92,1,326,43,234,268,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
136,246,Desert Mountain High School,Scottsdale,85259,1880,7.0,18.0,38.0,37.0,14.0,19.0,30.0,37.0,98.7,18,218,60,176,6,1353,49,935,945,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
137,247,Coronado High School,Scottsdale,85257,740,40.0,29.0,25.0,6.0,43.0,31.0,22.0,4.0,98.59,61,8,44,482,1,130,14,374,366,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138,248,Chaparral High School,Scottsdale,85253,2038,9.0,25.0,41.0,25.0,14.0,25.0,27.0,34.0,99.01,7,137,53,223,7,1545,66,993,1045,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,249,Cactus Shadows High School,Scottsdale,85266,1714,12.0,24.0,44.0,20.0,19.0,24.0,31.0,26.0,99.29,6,44,23,119,5,1507,10,861,853,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,252,Basis Scottsdale,Scottsdale,85259,993,5.0,9.0,53.0,33.0,3.0,11.0,30.0,56.0,100.0,2,594,19,60,2,254,63,528,466,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,255,Sossaman Middle School,Queen Creek,85142,1040,21.0,20.0,38.0,21.0,26.0,26.0,25.0,34.0,100.0,10,24,35,205,2,699,68,562,481,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142,256,Queen Creek Virtual Academy,Queen Creek,85142,257,40.0,25.0,33.0,3.0,59.0,28.0,11.0,2.0,99.41,3,7,9,63,0,160,15,112,145,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,257,Queen Creek High School,Queen Creek,85142,2225,14.0,27.0,40.0,19.0,22.0,27.0,29.0,21.0,99.86,22,44,64,583,8,1422,90,1114,1119,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,259,Dr. Camille Casteel High School,Queen Creek,85142,3140,20.0,25.0,40.0,15.0,28.0,25.0,26.0,20.0,99.68,14,74,92,589,8,2203,160,1536,1604,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
145,261,Benjamin Franklin High School,Queen Creek,85142,1235,24.0,23.0,38.0,16.0,30.0,22.0,27.0,21.0,99.92,4,33,31,208,3,896,60,624,611,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
146,265,Westland School,Phoenix,85033,216,59.0,20.0,20.0,1.0,75.0,18.0,5.0,2.0,99.07,4,0,25,131,7,32,17,112,104,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
147,266,Western School of Science and Technology,Phoenix,85033,522,60.0,22.0,15.0,2.0,72.0,19.0,7.0,2.0,100.0,2,0,7,509,0,4,0,245,277,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148,271,Carl Hayden High School,Phoenix,85009,2218,67.0,21.0,11.0,1.0,62.0,30.0,6.0,2.0,97.06,13,0,86,2079,0,28,11,1234,983,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
149,272,Central High School,Phoenix,85012,1901,57.0,24.0,18.0,2.0,61.0,27.0,9.0,3.0,96.18,119,44,290,1280,3,116,49,955,946,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,273,Children First Academy - Phoenix,Phoenix,85204,100,70.0,17.0,12.0,0.0,84.0,9.0,5.0,2.0,99.0,0,0,18,80,0,2,0,47,53,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,274,Cornerstone Charter School,Phoenix,85021,150,80.0,17.0,3.0,0.0,90.0,7.0,3.0,0.0,87.05,2,0,21,106,0,15,6,79,71,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
152,275,Cortez High School,Phoenix,85051,1104,38.0,32.0,26.0,5.0,40.0,36.0,20.0,3.0,99.01,51,60,136,668,2,155,32,569,535,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,276,Crestview College Preparatory High School,Phoenix,85032,246,77.0,21.0,2.0,0.0,86.0,14.0,0.0,0.0,87.23,8,0,21,190,2,21,4,140,106,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,277,Crown Point High School,Phoenix,85301,35,73.0,18.0,9.0,0.0,75.0,17.0,0.0,8.0,65.0,0,0,2,33,0,0,0,24,11,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
155,279,Deer Valley Middle School,Phoenix,85027,538,58.0,18.0,19.0,4.0,79.0,11.0,8.0,2.0,100.0,19,6,47,256,4,183,22,263,274,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156,280,Desert Foothills Middle School,Phoenix,85053,632,43.0,22.0,28.0,7.0,64.0,16.0,14.0,6.0,100.0,15,14,56,287,1,238,21,313,319,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
157,282,Desert Marigold School,Phoenix,85042,303,40.0,20.0,34.0,5.0,60.0,30.0,9.0,1.0,100.0,0,3,12,70,0,184,34,154,149,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
158,284,Desert Vista High School,Phoenix,85048,2953,7.0,19.0,46.0,28.0,13.0,23.0,32.0,32.0,99.11,59,197,202,742,7,1546,211,1530,1434,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,289,Franklin Police And Fire High School,Phoenix,85007,321,28.0,38.0,29.0,5.0,33.0,40.0,21.0,7.0,99.68,4,2,3,301,0,10,1,161,160,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,290,Gateway Early College High School,Phoenix,85034,333,32.0,37.0,25.0,6.0,39.0,36.0,22.0,3.0,100.0,4,2,54,263,2,5,1,148,183,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
161,292,Girls Leadership Academy Of Arizona,Phoenix,85013,74,47.0,47.0,7.0,0.0,81.0,19.0,0.0,0.0,98.53,1,1,5,57,0,7,3,0,74,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,293,Glenview College Preparatory High School,Phoenix,85301,523,19.0,26.0,38.0,16.0,27.0,37.0,27.0,8.0,100.0,3,8,25,457,1,18,11,227,296,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,295,Great Hearts Academies - Archway Veritas,Phoenix,85018,716,16.0,16.0,41.0,27.0,8.0,14.0,45.0,34.0,99.44,1,37,12,126,2,480,58,361,355,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164,296,Great Hearts Academies - North Phoenix Prep,Phoenix,85032,522,11.0,15.0,57.0,17.0,22.0,22.0,35.0,21.0,96.44,3,61,16,116,1,296,29,235,287,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,298,Great Hearts Academies - Veritas Prep,Phoenix,85018,802,16.0,20.0,51.0,14.0,21.0,23.0,31.0,25.0,98.48,3,44,20,178,5,498,53,374,427,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
166,299,"Greenway, High School",Phoenix,85053,1346,22.0,27.0,35.0,15.0,30.0,37.0,20.0,14.0,98.22,25,51,98,555,3,568,48,694,654,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
167,300,Greenway Middle School,Phoenix,85032,418,64.0,17.0,16.0,3.0,79.0,12.0,6.0,3.0,100.0,10,2,20,353,0,26,8,218,201,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
168,303,Hope High School,Phoenix,85043,141,83.0,12.0,5.0,0.0,82.0,18.0,0.0,0.0,77.84,5,2,28,97,0,8,1,79,62,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169,306,Intelli-school- Metro Center,Phoenix,85029,54,73.0,20.0,7.0,0.0,62.0,31.0,6.0,0.0,75.0,2,3,2,28,0,18,0,28,25,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170,307,Intelli-school- Paradise Valley,Phoenix,85022,62,54.0,23.0,23.0,0.0,54.0,46.0,0.0,0.0,89.47,0,0,0,30,0,30,2,27,35,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,308,International Commerce High School - Phoenix,Phoenix,85282,200,69.0,22.0,8.0,0.0,82.0,15.0,2.0,0.0,75.23,5,0,23,153,0,12,7,99,101,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
172,310,Kaizen Education Foundation Dba Maya High School,Phoenix,85051,393,81.0,14.0,4.0,1.0,83.0,17.0,0.0,0.0,76.62,11,16,58,275,0,24,8,194,198,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
173,311,Kaizen Education Foundation Dba Quest High School,Phoenix,85042,87,90.0,5.0,5.0,0.0,86.0,9.0,5.0,0.0,74.39,4,0,4,69,0,10,1,44,44,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,312,Kaizen Education Foundation Dba Summit High School,Phoenix,85006,192,81.0,13.0,4.0,2.0,76.0,20.0,2.0,2.0,81.52,7,0,22,150,0,7,5,105,86,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
175,313,Keystone Montessori Charter School,Phoenix,85048,177,20.0,18.0,46.0,16.0,26.0,29.0,27.0,18.0,100.0,0,12,9,57,1,87,13,93,86,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176,314,Learning Institute The ,Phoenix,85014,102,76.0,18.0,0.0,6.0,94.0,0.0,6.0,0.0,56.64,10,0,3,81,0,7,1,55,47,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
177,316,Madison Highland Prep,Phoenix,85014,456,25.0,32.0,33.0,10.0,13.0,30.0,33.0,24.0,100.0,8,9,19,240,2,157,21,254,202,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
178,317,Maryvale High School,Phoenix,85033,2795,68.0,19.0,11.0,1.0,69.0,23.0,7.0,1.0,95.92,23,13,122,2549,3,63,22,1484,1311,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
179,318,Metro Tech High School,Phoenix,85015,1804,32.0,34.0,28.0,5.0,40.0,36.0,18.0,6.0,99.2,4,13,23,1735,0,29,0,829,975,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180,320,Metropolitan Arts Institute,Phoenix,85007,250,25.0,21.0,49.0,6.0,50.0,28.0,21.0,2.0,100.0,4,3,19,109,1,99,15,49,201,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
181,322,Moon Valley High School,Phoenix,85029,1488,34.0,31.0,28.0,8.0,35.0,28.0,25.0,12.0,99.06,31,53,123,785,6,435,57,766,724,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
182,325,Mountain Sky Middle School,Phoenix,85023,713,47.0,21.0,24.0,8.0,55.0,17.0,15.0,13.0,100.0,18,9,49,298,0,304,35,363,350,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
183,326,Mountain Trail Middle School,Phoenix,85024,680,27.0,21.0,34.0,19.0,36.0,20.0,20.0,25.0,100.0,5,18,20,186,5,395,51,365,315,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
184,327,New World Educational Center,Phoenix,85014,173,44.0,23.0,26.0,7.0,56.0,24.0,15.0,4.0,100.0,4,0,10,154,0,6,2,89,87,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
185,328,Nfl Yet College Prep Academy,Phoenix,85040,313,48.0,25.0,23.0,3.0,73.0,17.0,7.0,3.0,100.0,1,1,10,292,0,9,0,171,142,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
186,329,North Canyon High School,Phoenix,85024,1842,44.0,24.0,25.0,6.0,49.0,33.0,12.0,6.0,97.04,32,30,147,1142,5,410,76,937,905,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
187,330,North High School,Phoenix,85014,2135,58.0,24.0,14.0,3.0,64.0,24.0,10.0,2.0,96.7,56,22,169,1757,5,90,36,1077,1058,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188,331,North Pointe Preparatory,Phoenix,85051,435,41.0,23.0,31.0,5.0,63.0,19.0,14.0,4.0,96.65,7,18,25,245,0,114,23,219,213,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,334,"Ombudsman, - Charter East",Phoenix,85018,85,89.0,11.0,0.0,0.0,89.0,11.0,0.0,0.0,65.05,8,0,6,63,0,7,1,37,48,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190,335,Ombudsman - Charter East lI,Phoenix,85018,87,62.0,23.0,8.0,8.0,69.0,15.0,15.0,0.0,65.67,9,0,6,63,0,9,0,50,37,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
