,index,School,City,Zip Code,Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),End of Year Promotion (%),American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Grade Levels,County,School Type,Anthem,Avondale,Buckeye,Chandler,El Mirage,Fountain Hills,Gila Bend,Gilbert,Glendale,Goodyear,Highley,Laveen,Mesa,Peoria,Phoenix,Queen Creek,Scottsdale,Surprise,Tempe,Tolleson,Tonopah,Wickenburg
20,31,Great Hearts Academies - Archway Chandler,Chandler,85034,532,10.0,15.0,36.0,39.0,3.0,12.0,36.0,49.0,99.25,3,93,25,100,0,254,58,261,272,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,32,Great Hearts Academies - Chandler Prep,Chandler,85034,712,10.0,18.0,53.0,19.0,17.0,21.0,30.0,33.0,99.28,3,130,44,116,9,347,64,355,358,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,33,Great Hearts Academies - Lincoln Prep,Chandler,85034,535,27.0,24.0,39.0,9.0,26.0,25.0,28.0,21.0,99.25,1,123,36,76,3,251,46,272,264,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,34,Hamilton High School,Chandler,85248,3828,11.0,20.0,38.0,31.0,18.0,21.0,24.0,37.0,99.03,88,719,304,828,8,1673,230,1886,1964,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,35,Intelli-school,Chandler,85225,51,67.0,13.0,13.0,7.0,60.0,33.0,7.0,0.0,77.19,0,0,3,38,0,8,2,25,26,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,36,Kaizen Education Foundation Dba El Dorado High School,Chandler,85225,202,87.0,9.0,2.0,2.0,82.0,18.0,0.0,0.0,86.34,3,2,30,119,0,44,5,110,93,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,40,Paragon Science Academy,Chandler,85224,547,16.0,24.0,40.0,21.0,18.0,20.0,30.0,32.0,100.0,6,133,151,44,0,197,17,272,276,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,41,Primavera - Online,Chandler,85225,6381,45.0,27.0,23.0,5.0,68.0,22.0,8.0,2.0,79.72,257,75,316,2786,15,2578,365,2884,3508,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,42,Santan Junior High School,Chandler,85249,1228,21.0,21.0,41.0,17.0,31.0,25.0,27.0,17.0,99.28,16,80,64,228,2,765,79,606,628,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,46,Willis Junior High School,Chandler,85225,858,41.0,19.0,30.0,9.0,51.0,19.0,17.0,13.0,99.89,15,34,49,499,5,229,34,434,431,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,47,Dysart High School,El Mirage,85335,1427,33.0,27.0,31.0,8.0,35.0,33.0,24.0,8.0,99.78,14,41,126,874,8,315,55,770,663,15,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,49,Fountain Hills High School,Fountain Hills,85268,467,22.0,34.0,31.0,13.0,31.0,24.0,25.0,20.0,98.46,60,11,8,57,0,299,31,265,201,17,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,51,Gila Bend High School,Gila Bend,85337,156,84.0,9.0,6.0,0.0,82.0,15.0,3.0,0.0,95.95,40,0,1,105,0,5,5,81,75,17,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,52,Arizona Connections Academy,Gilbert,85297,2568,38.0,24.0,30.0,7.0,60.0,22.0,14.0,4.0,99.38,87,29,198,834,14,1186,228,1253,1323,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,53,Campo Verde High School,Gilbert,85297,1986,17.0,21.0,42.0,20.0,21.0,27.0,29.0,24.0,98.99,30,60,54,449,6,1295,97,992,999,16,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,55,Cooley Middle School,Gilbert,85295,874,35.0,18.0,35.0,11.0,39.0,20.0,23.0,18.0,99.89,9,37,71,231,5,474,46,440,433,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,56,Desert Hills High School,Gilbert,85296,264,52.0,33.0,14.0,0.0,79.0,14.0,7.0,0.0,82.53,34,1,19,102,1,96,11,126,138,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,57,Eduprize School Gilbert,Gilbert,85233,1415,26.0,20.0,40.0,15.0,29.0,24.0,32.0,15.0,99.29,11,43,62,366,2,884,61,720,709,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
